age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class_id
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,North America,0
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,North America,0
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,North America,0
53,Private,234721,Primary Education,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,North America,0
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Central America,0
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,North America,0
49,Private,160187,Primary Education,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Central America,0
52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,North America,1
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,North America,1
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,North America,1
37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,North America,1
30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Asia,1
23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,North America,0
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,North America,0
40,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,unknown,1
34,Private,245487,Primary Education,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,South America,0
25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,North America,0
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,North America,0
38,Private,28887,Primary Education,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,North America,0
43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,North America,1
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,North America,1
54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,North America,0
35,Federal-gov,76845,Primary Education,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,North America,0
43,Private,117037,Primary Education,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,North America,0
59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,North America,0
56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,North America,1
19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,North America,0
54,unknown,180211,Some-college,10,Married-civ-spouse,unknown,Husband,Asian-Pac-Islander,Male,0,0,60,South America,1
39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,North America,0
49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,North America,0
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,North America,0
20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,North America,0
45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,North America,0
30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,North America,0
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,North America,0
48,Private,242406,Primary Education,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Central America,0
21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,North America,0
19,Private,415887,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,North America,0
31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,unknown,1
48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,North America,0
31,Private,415887,Primary Education,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,North America,0
53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,North America,0
24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,North America,0
49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,North America,0
25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,North America,0
57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,North America,1
53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,North America,0
44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,North America,0
41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,North America,0
29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,North America,0
25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,North America,0
18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,unknown,0
47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Central America,1
50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,North America,1
47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,North America,0
43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,North America,1
46,Private,216666,Primary Education,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,South America,0
35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Central America,0
41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,North America,0
30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,North America,0
30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,North America,0
32,unknown,293936,Primary Education,4,Married-spouse-absent,unknown,Not-in-family,White,Male,0,0,40,unknown,0
48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,North America,0
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,North America,1
29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,North America,0
36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,North America,0
28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,0
53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,North America,1
49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,North America,1
25,unknown,200681,Some-college,10,Never-married,unknown,Own-child,White,Male,0,0,40,North America,0
19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,North America,0
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,North America,0
29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,North America,1
23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,North America,0
79,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,North America,0
27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,South America,0
40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,North America,0
67,unknown,212759,Primary Education,6,Married-civ-spouse,unknown,Husband,White,Male,0,0,2,North America,0
18,Private,309634,Primary Education,7,Never-married,Other-service,Own-child,White,Female,0,0,22,North America,0
31,Local-gov,125927,Primary Education,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,North America,0
18,Private,415887,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,North America,0
52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Central America,0
46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,North America,0
59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,North America,0
44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,North America,1
53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,North America,0
49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,North America,1
33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,North America,0
30,Private,54334,Primary Education,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,North America,0
43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,North America,1
57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,North America,0
37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,North America,0
28,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,North America,0
30,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,unknown,0
34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,North America,1
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,North America,0
48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,North America,1
37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,North America,1
48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,European Union,0
32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,North America,0
76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,North America,1
44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,North America,1
47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,North America,0
20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,North America,0
29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,North America,0
32,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,North America,1
17,unknown,304873,Primary Education,6,Never-married,unknown,Own-child,White,Female,34095,0,32,North America,0
30,Private,194901,Primary Education,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,North America,0
31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,0
42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,North America,0
24,Private,415887,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,North America,0
38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,North America,1
56,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,North America,1
28,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,North America,0
36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,North America,0
53,Private,95647,Primary Education,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,North America,0
56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,North America,0
49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,North America,1
55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,North America,0
22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,North America,0
21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,North America,0
40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,North America,0
30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,European Union,0
29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,North America,1
19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,North America,0
47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,North America,1
20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,North America,0
31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,North America,1
35,unknown,129305,HS-grad,9,Married-civ-spouse,unknown,Husband,White,Male,0,0,40,North America,0
39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,North America,0
28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,North America,0
24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,North America,0
38,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,North America,0
37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,North America,0
46,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,North America,0
38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Asia,1
43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,North America,0
27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,North America,0
20,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,North America,0
49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,North America,1
61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,North America,0
27,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,North America,0
19,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,South America,0
45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,North America,1
70,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,North America,0
31,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,North America,0
22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,North America,0
36,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,North America,0
64,Private,181232,Primary Education,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,North America,0
43,unknown,174662,Some-college,10,Divorced,unknown,Not-in-family,White,Female,0,0,40,North America,0
47,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,South America,0
34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,0
33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Asia,0
21,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,North America,0
52,unknown,252903,HS-grad,9,Divorced,unknown,Not-in-family,White,Male,0,0,45,North America,1
48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,North America,0
23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,North America,0
71,Self-emp-not-inc,415887,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,North America,0
29,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,North America,0
42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,North America,0
68,unknown,38317,Primary Education,2,Divorced,unknown,Not-in-family,White,Female,0,0,20,North America,0
25,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,North America,0
44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,North America,0
28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,European Union,0
45,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,North America,1
36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,South America,0
39,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,North America,0
46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,North America,0
18,Private,25828,Primary Education,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,North America,0
66,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,North America,0
27,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,North America,0
28,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,North America,0
51,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,North America,1
27,Private,415887,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,North America,0
28,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,North America,1
27,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,North America,0
21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,North America,0
34,Private,415887,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,North America,0
18,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,North America,0
33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,North America,0
44,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,North America,1
43,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,North America,0
30,Private,415887,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,North America,0
40,Private,286370,Primary Education,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,South America,1
37,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,North America,1
34,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,North America,0
41,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,North America,0
53,unknown,135105,Bachelors,13,Divorced,unknown,Not-in-family,White,Female,0,0,50,North America,0
31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,North America,0
58,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,North America,1
38,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,North America,0
24,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,North America,0
41,Local-gov,415887,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,North America,0
47,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,North America,0
41,Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,North America,0
23,Private,197387,Primary Education,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,South America,0
36,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,North America,0
40,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,North America,1
35,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,North America,1
24,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,North America,0
26,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,North America,0
19,unknown,170653,HS-grad,9,Never-married,unknown,Own-child,White,Male,0,0,40,European Union,0
51,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,North America,1
42,Local-gov,254817,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,North America,0
37,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,North America,0
18,Private,140164,Primary Education,7,Never-married,Sales,Own-child,White,Female,0,0,40,North America,0
36,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,North America,1
35,Private,36270,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,North America,0
58,Self-emp-inc,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,North America,1
17,Private,65368,Primary Education,7,Never-married,Sales,Own-child,White,Female,0,0,12,North America,0
44,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,North America,0
37,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,North America,1
35,Private,153790,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,North America,0
60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,North America,0
54,Self-emp-inc,125417,Primary Education,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,North America,1
37,Private,415887,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,North America,1
50,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,North America,0
38,Private,182609,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,European Union,0
45,Private,109434,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,North America,0
25,Private,255004,Primary Education,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,North America,0
31,Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,North America,0
64,unknown,187656,Primary Education,2,Divorced,unknown,Not-in-family,White,Male,0,0,40,North America,0
